title,salary,address,keyword,work_experience,education,company,welfare,requirements,url
电商数据分析(双休+五险一金+餐补),6千-8千,杭州,"五险一金
年底双薪
绩效奖金
餐补
节日福利
高温补贴
周末双休",经验不限,中专,杭州挪蒙广告设计有限公司,"五险一金
年底双薪
绩效奖金
餐补
节日福利
高温补贴
周末双休","职位描述

职位信息
一、岗位职能：
1、帮助分析师利用通用的大数据分析工具采集、分析、总结互联网相关数据；
2、帮助监控整理日常数据，为项目提供数据分析报告；
二、任职要求：
1、全日制专科及以上学历，数理统计、计算机等相关专业优先；
2、追求高薪有挑战性工作，有上进心的优先考虑；
3、有执行力、逻辑分析、业务理解以及沟通能力。
三、福利待遇：
1、工作时间：周一至周五，8.30-17:30，周末双休；
2、公司提供住宿以及餐补；
3、为员工购买五险一金，让员工无后顾之忧；
4、法定节假日正常休息，生日、端午、中秋等每个节日都有意外惊喜；
5、奖金：带薪年假，季度奖金，项目奖金，年度表现优异者将会得到更多奖金；
6、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！",https://jobs.zhaopin.com/CC668039620J00207801103.htm
大数据研究员,8千-1万,北京,"五险一金
绩效奖金
定期体检
带薪年假
周末双休
餐补",3-5年,本科,中国金融电子化公司,"五险一金
绩效奖金
定期体检
带薪年假
周末双休
餐补","职位描述
岗位职责：
1、参与设计、研发大数据处理平台；
2、从事大数据的消息队列、分布式计算、实时流计算的研发；
3、从事数据挖掘、搜索的研发，负责数据仓库中的数据计算ETL、数据仓库的设计、开发、维护；
4、从事与金融科技行业相关的监管政策研究和支撑工作。
任职要求：
1、本科以上学历，计算机、数学或相关专业，35岁以下；
2、熟悉（Java/Python/php）一种以上语言编程；
3、两年以上大数据处理工作经验，熟悉MongoDB、Redis开发经验，有Storm、Spark、Kafka，flume相关开发经验者优先；
4、有ETL、数据仓库、数据可视化相关开发经验者优先；
5、有Hadoop生态圈以及solr、elasticSearch开发经验者优先。",https://jobs.zhaopin.com/CC000555233J00117746415.htm
数据仓库工程师,8千-1.3万,石家庄,"节日福利
每年多次调薪
周末双休
五险一金
绩效奖金
带薪年假
定期体检
员工旅游",3-5年,本科,张家口幸福金融科技有限公司,"节日福利
每年多次调薪
周末双休
五险一金
绩效奖金
带薪年假
定期体检
员工旅游","职位描述
技能要求：
数据挖掘
ETL
数据仓库
数据分析
1、理解使用Hadoop/spark/kafka/storm等大数据处理技术;
2、理解数据仓库理论基础，理解数据仓库模型设计，应用层建设有相关的经验； 
3、具备数据库开发技术，具备海量数据加工处理（ETL）相关经验； 
4、理解数据仓库模型建模理论、OLAP，精通大型数据库技术，至少熟悉mysql、DB2、Oracle、Teradata、Greenplum等主流数据仓库模型设计之一；
5、对于数据质量控制、元数据、主数据管理等，有科学的管理工具的使用经验；
6、较强的逻辑思考能力，能梳理清晰的表层需求与数仓层级设计关系；1、理解使用Hadoop/spark/kafka/storm等大数据处理技术;
2、理解数据仓库理论基础，理解数据仓库模型设计，应用层建设有相关的经验； 
3、具备数据库开发技术，具备海量数据加工处理（ETL）相关经验； 
4、理解数据仓库模型建模理论、OLAP，精通大型数据库技术，至少熟悉mysql、DB2、Oracle、Teradata、Greenplum等主流数据仓库模型设计之一；
5、对于数据质量控制、元数据、主数据管理等，有科学的管理工具的使用经验；
6、较强的逻辑思考能力，能梳理清晰的表层需求与数仓层级设计关系；",https://jobs.zhaopin.com/CC569810331J00134129213.htm
园林环保IT大数据分析（实习生）,8千-1万,北京,"无试用期
免息房贷
年终分红
绩效奖金
年底双薪
五险一金",无经验,大专,北京联科博远教育科技有限公司,"无试用期
免息房贷
年终分红
绩效奖金
年底双薪
五险一金","职位描述
薪资待遇：
1、银行、金融机构、电信、上市科技公司等，从事大数据分析工作；
2、签订正式劳动合同、办理组织关系迁转、享受国家规定的保险福利待遇；
3、入职第一个月专科月薪8000元起、本科9000元起，第二年起薪高于10000元/月，平均年薪12万元或更高。
晋级空间：初级大数据分析工程师→中级分析工程师→高级技术专家→高层管理/CTO

薪资待遇：
1、试用期一个月，试用期综合工资7000，转正后综合工资7500-9500 （可面议）；
2、公司缴纳五险一金，签订正式合同
3、逢年过节发放节日礼品，聚餐等；
4、按季度组织省外出旅游等；
5、定期体检等；
6、按季度评比出优秀员工进行培养和加薪（必要时晋升）；
7、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；
8、公司注重员工培养，给予晋升机会，管理层主要员工中培养、提拔
9.高额的年终奖金，每位员工都会有年终奖金，服务公司时间越长，年终奖金会越高，逐年递增",https://jobs.zhaopin.com/CZ638945620J00078567513.htm
大数据开发工程师,1万-2万,郑州,无,3-5年,本科,河南金明源信息技术有限公司,"大数据开发工程师
岗位职责 
1、负责基于storm、spark等框架的实时计算平台搭建
2、使用spark、storm进行数据处理，并对相关服务进行调优
3、负责对业务的数据接口开发
任职要求：
1、3年以上大数据开发相关工作经验， 精通JAVA、熟悉scala、python、R中的一种或多种语言；
2、精通Hadoop/Spark、Hive、Storm、Kafka等主流大数据技术，并能设计相关数据模型；
3、负责数据平台的设计、开发、维护与优化，满足上层数据运营体系、BI分析、数据产品开发、数据挖掘等需求；
4、很强的学习、分析和解决问题能力，可以迅速掌握业务逻辑并转化为技术方案；
5、有机器学习、深度学习实际项目经验者优先；","职位描述
大数据开发工程师
岗位职责 
1、负责基于storm、spark等框架的实时计算平台搭建
2、使用spark、storm进行数据处理，并对相关服务进行调优
3、负责对业务的数据接口开发
任职要求：
1、3年以上大数据开发相关工作经验， 精通JAVA、熟悉scala、python、R中的一种或多种语言；
2、精通Hadoop/Spark、Hive、Storm、Kafka等主流大数据技术，并能设计相关数据模型；
3、负责数据平台的设计、开发、维护与优化，满足上层数据运营体系、BI分析、数据产品开发、数据挖掘等需求；
4、很强的学习、分析和解决问题能力，可以迅速掌握业务逻辑并转化为技术方案；
5、有机器学习、深度学习实际项目经验者优先；",https://jobs.zhaopin.com/CC187870115J00231345404.htm
外贸资讯顾问（18年稳定平台 大数据龙头）,8千-1万,武汉,"周末双休
五险一金
绩效奖金
员工旅游
节日福利
交通补助
带薪年假",经验不限,大专,环球慧思(北京)数据技术有限公司,"周末双休
五险一金
绩效奖金
员工旅游
节日福利
交通补助
带薪年假","职位描述
官 宣
    环球慧思是中国重汽、中国中化集团、中国铝业、中国远洋、中国建材、中牧实业、中粮、贵州茅台、海信、云南白药、TCL等大型知名企业的外贸数据服务提供商。现面向社会诚聘精英。

福利待遇：
1、晋升：外贸资讯顾问→销售主管→销售经理→销售总监，制度及标准公开、公正，晋升周期取决于个人能力；
2、培训：带薪岗前培训+入职经理指导+公司系统、集中培训；
3、待遇：
●无责任底薪（3200-8500）+高比例提成+绩效工资+奖金（月度奖、季度奖、年终奖）+丰厚额外奖品，五险一金；
●8小时工作制，周末双休，法定节假日正常休息，国外旅游，不定期团建活动（聚餐、旅游等）；
●自由舒适的工作环境，公开公平的晋升机制。
岗位要求：
1、20-28岁之间，大专及以上学历；
2、具备独立思考的能力，目标明确，执行力强；
3、有自己的生活和职业追求，并愿意为实现目标不懈奋斗；
4、踏实稳重，学习及领悟能力强，有越挫越勇的毅力；
5、对互联网大数据行业感兴趣或有一定了解。
岗位职责：
1、根据公司既有客户资源，开发及筛选优质高端外贸出口型企业客户群；
2、与外贸出口型企业老板进行直接对接、洽谈，做好客户跟进，完成商务谈判、合同签订、客户回款等一系列工作；
3、在岗位上不断学习专业知识及专业技能，成长为具备核心竞争力、可与公司共同发展、共同进步的优质精英人才。


我们不在乎你之前如何谋生，只想知道你有何渴望，是否敢追逐心中梦想！
我们不关心你英雄来自何处，只想知道面对梦想，你是否无所保留，像个傻瓜般投入的透彻。
我们想知道，当疲倦来袭，伤口痛彻心扉，你能否再次爬起来，为生活付出。

春水初生，春风十里，在我的眼里都不如你。因为公司需要优秀的你！

公司地址：武汉市武昌区中南路7号中商广场B2910室",https://jobs.zhaopin.com/CC202848230J00050855115.htm
数据开发工程师（杭州）,8千-1.6万,杭州,"五险一金
年底双薪
绩效奖金
带薪年假
员工旅游
节日福利
定期体检",1-3年,本科,南京麦思伦信息科技有限公司,"五险一金
年底双薪
绩效奖金
带薪年假
员工旅游
节日福利
定期体检","职位描述
岗位职责：
数据开发岗位负责基于数据中台架构，参与上述行业数据项目中数据开发工作，包括并不限于：数据采集、清洗、加工、转换、数据分析、数据模型设计等。

岗位要求：
1、要求计算机等相关专业本科以上学历；
2、具有数据仓库项目经验，数据模型设计经验；
3、至少熟悉或了解hadoop、MySql、oracle、DB2、sybaseIQ一种或以上的数据库语法/操作，并具有使用或项目实践经验；
4、至少熟练使用shell，python，perl一种或以上脚本语言；具备大数据应用需求分析能力及数据库基础知识优先；
5、有政府行业大数据/BI项目实施经验者优先。",https://jobs.zhaopin.com/CC477894931J00220126406.htm
大数据产品经理-苏州,9千-1.5万,苏州,"五险一金
餐补
通讯补助
带薪年假
补充医疗保险
定期体检
周末双休
节日福利",3-5年,本科,苏州宽连信息技术有限公司,"五险一金
餐补
通讯补助
带薪年假
补充医疗保险
定期体检
周末双休
节日福利","职位描述
职位描述：
1、负责大数据营销产品框架搭建；
2、协同团队实现产品开发、上线；
3、跟进客户反馈，优化迭代产品，建立产品标准化。

任职要求：
1、本科以上学历，3年以上互联网产品经验；
2、负责过大数据营销相关产品，熟悉相关产品搭建及实现过程；
3、具有良好的逻辑思维与系统分析能力，对设计和细节敏感；
4、具有良好的团队协作意识、综合沟通能力，责任心强，抗压性强；
5、熟悉SQL查询，工作经历有My SQl/HIVE等的优先；
6、对数据挖掘、机器学习等基本概念了解，对数据分析和应用敏感。",https://jobs.zhaopin.com/CC598850326J00349802801.htm
高级前端工程师,6千-1.2万,南京,"周末双休
五险一金",3-5年,本科,中科万城(南京)大数据科技有限公司,"周末双休
五险一金","职位描述
岗位职责：
1.负责公司现有项目和产品前端修改调试和开发工作；
2.与设计团队紧密配合以及与后端平台的对接工作，优化网站前端性能，兼容各大主流浏览器；
3.整体页面结构及杨慧层结构的设计、优化，制作标准优化的代码，并增加标准动态功能；
任职要求：
1.精通H5,vue,angularjs,ember，react+nodejs等主流前端开发语言；
2.熟练掌握javascript、bootstrap；
3.熟悉常用的JS框架，科熟练的套用兵在此基础上做一定的修改，能实现良好的用户体验与新颖的交互方式；
4.熟练使用WEBGL/three.js，有web端bim开发经验的优先考虑。",https://jobs.zhaopin.com/CC708747430J00141574208.htm
电气8K大数据分析师实习生,8千-1万,北京,"14薪
每年多次调薪
周末双休
餐补
年底双薪
不加班
带薪年假
节日福利",无经验,大专,北京联科数创科技有限公司,"14薪
每年多次调薪
周末双休
餐补
年底双薪
不加班
带薪年假
节日福利","职位描述

岗位职责：
1.梳理运营与推广的业务需求，制定数据报表；

2.挖掘数据背后的市场方向、规律、短板，为业务提供决策依据；

3.针对具体的业务事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案或提炼可复制的模板；

4.分析运营与推广需求，固化常规数据报表，提升数据支持运营与推广的能力；

5.通过数据分析工具，高效支持业务端的数据查询需求，包括经营数据，会员数据的查询；

6.数据研究与分析，通过挖掘数据的内在关系，发现运营与推广中的问题，并推动问题的解决；

公司福利：
1、签订正式劳动合同，从试用期开始缴纳五险一金；
2、日常补贴（话费、工作餐、交通费补贴）;
3、薪资保障:享受优质的奖励机制，高底薪+绩效；
4、 晋升管道畅通，一年有四次加薪晋升机会；
5、 正式员工享受十三薪及年终奖；
6、 朝九晚六，周末双休;
7、 每季度员工旅游+员工生日会+节日礼物；
8、 每年享受国家规定的带薪年假、法定节假日等福利；
9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；
10、 提供员工宿舍；
11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",https://jobs.zhaopin.com/CZ808308570J00068439211.htm
